Ref,Value,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,0805,167.21,-63.8475,90,top
C2,50V 220u,CP_Radial_D8.0mm_P3.50mm,160.48,-62.81,90,top
C3,100n,0805,133.4925,-78.47,0,top
C4,100n,0805,108.385,-79.1,0,top
C5,100n,0805,114.6375,-79.1,180,top
C6,100n,0805,121.4125,-79.1,0,top
C7,100n,0805,127.3125,-78.47,0,top
D1,SR56,SMB,146.2,-73.19,180,top
D2,SMCJ18A,SMC,162.81,-71.8155,0,top
D3,BZT52C3V3,SOD-123,132.88,-75.63,180,top
D4,1N4007,SMA,101.63,-65.805,90,top
D5,BZT52C3V3,SOD-123,107.7725,-75.775,180,top
D6,BZT52C3V3,SOD-123,115.25,-75.775,0,top
D7,BZT52C3V3,SOD-123,120.8,-75.775,180,top
D8,BZT52C3V3,SOD-123,126.7,-75.63,180,top
D9,1N4007,SMA,135.14,-133.46,180,top
D10,1N4007,SMA,120.98,-133.46,180,top
D11,1N4007,SMA,149.3175,-133.46,180,top
D12,1N4007,SMA,194.09,-125.9925,180,top
D13,1N4007,SMA,194.09,-100.31,180,top
D14,1N4007,SMA,135.14,-107.56,180,top
D15,1N4007,SMA,149.3175,-107.56,180,top
D16,1N4007,SMA,106.78,-107.56,180,top
D17,1N4007,SMA,120.98,-107.56,180,top
F1,FUSE_DCDC PTC 1.1A,1812,172.73,-62.81,180,top
F2,FUSE_COILS PTC 1.1A,1812,153.8,-74.0405,90,top
Q1,MMBT2222A,SOT-23-3,138.9225,-73.13,180,top
Q2,MMBT2222A,SOT-23-3,132.16,-137.25,180,top
Q3,MMBT2222A,SOT-23-3,118,-137.25,180,top
Q4,MMBT2222A,SOT-23-3,146.3375,-137.25,180,top
Q5,MMBT2222A,SOT-23-3,195.3,-129.9525,90,top
Q6,MMBT2222A,SOT-23-3,195.6,-104.27,90,top
Q7,MMBT2222A,SOT-23-3,131.2325,-111.34,180,top
Q8,MMBT2222A,SOT-23-3,146.33,-111.34,180,top
Q9,MMBT2222A,SOT-23-3,103.7925,-111.34,180,top
Q10,MMBT2222A,SOT-23-3,117.9925,-111.34,180,top
R1,1k,0805,143.37,-76.39,0,top
R2,1k,0805,139.29,-80.93,0,top
R3,30k,0805,133.53,-72.48,180,top
R4,100k,0805,139.06,-76.39,180,top
R5,10k,0805,133.53,-80.93,0,top
R6,30k,0805,108.4225,-72.48,0,top
R7,1k,0805,110.4225,-85.32,180,top
R8,10k,0805,108.4225,-82.225,0,top
R9,4.7k,0805,113.08,-72.48,0,top
R10,1k,0805,115.65,-84.66,180,top
R11,47k,0805,114.6,-82.225,180,top
R12,4.7k,0805,121.45,-72.48,0,top
R13,1k,0805,123.44,-84.95,180,top
R14,47k,0805,121.45,-82.225,0,top
R15,30k,0805,127.35,-72.48,0,top
R16,1k,0805,129.67,-83.065,180,top
R17,10k,0805,127.35,-80.93,0,top
R18,1k,0805,139.93,-137.2,90,top
R19,1k,0805,125.77,-137.2,90,top
R20,1k,0805,154.1075,-137.2,90,top
R21,100k,0805,136.64,-137.2,90,top
R22,100k,0805,122.48,-137.2,90,top
R23,100k,0805,150.8175,-137.2,90,top
R24,1k,0805,188.635,-130.09,90,top
R25,1k,0805,188.635,-104.4075,90,top
R26,100k,0805,191.93,-130.09,90,top
R27,100k,0805,191.93,-104.4075,90,top
R28,1k,0805,139.01,-111.29,90,top
R29,1k,0805,154.1075,-111.29,90,top
R30,100k,0805,135.63,-111.29,90,top
R31,100k,0805,150.8175,-111.29,90,top
R32,1k,0805,111.57,-111.29,90,top
R33,1k,0805,125.77,-111.29,90,top
R34,100k,0805,108.28,-111.29,90,top
R35,100k,0805,122.48,-111.29,90,top
